MESSAGE: ERROR: Error to get file's absolute path; LINE: 190; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 190; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Error to get file's absolute path; LINE: 194; FUNCTION: handleConnection; FILENAME: src/connection.c
