MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
MESSAGE: ERROR: Internal error; LINE: 179; FUNCTION: handleConnection; FILENAME: src/connection.c
